"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"949";"1053";"1020";"958"
"CARTAS ROBADAS";"307";"241";"291";"315"
"CARTAS +4";"62";"29";"28";"24"
"CARTAS +2";"126";"77";"69";"115"
"CARTAS CAMBIO DE SENTIDO";"102";"96";"65";"80"
"CARTAS QUITAR TURNO";"80";"104";"84";"63"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"90";"56";"60";"87"
"VECES QUE HA GANADO";"30";"16";"18";"36"

"GANADOR DE LAS PARTIDAS";"Jugador4"
