"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaPriorizarCartasRobar";"ReglaNoPriorizarCartasRobar";"ReglaContarColoresMasFrecuente";"ReglaAzar"
"CARTAS JUGADAS";"10005";"9899";"9896";"9508"
"CARTAS ROBADAS";"6093";"5728";"5514";"5499"
"CARTAS +4";"326";"302";"339";"328"
"CARTAS +2";"733";"522";"822";"891"
"CARTAS CAMBIO DE SENTIDO";"585";"584";"835";"853"
"CARTAS QUITAR TURNO";"620";"618";"1156";"537"
"CARTAS CAMBIA COLOR";"351";"306";"335";"331"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"696";"823";"938";"719"
"VECES QUE HA GANADO";"228";"268";"279";"225"

"GANADOR DE LAS PARTIDAS";"Jugador3"
