"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaPriorizarCartasRobar";"ReglaNoPriorizarCartasRobar";"ReglaContarColoresMasFrecuente";"ReglaAzar"
"CARTAS JUGADAS";"9881";"9906";"9794";"9439"
"CARTAS ROBADAS";"6094";"5700";"5303";"5582"
"CARTAS +4";"368";"291";"305";"294"
"CARTAS +2";"684";"559";"917";"896"
"CARTAS CAMBIO DE SENTIDO";"550";"587";"844";"866"
"CARTAS QUITAR TURNO";"595";"543";"1092";"615"
"CARTAS CAMBIA COLOR";"315";"308";"324";"311"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"662";"808";"905";"719"
"VECES QUE HA GANADO";"183";"254";"328";"235"

"GANADOR DE LAS PARTIDAS";"Jugador3"
