"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaAzar";"ReglaNoPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaAzar";"ReglaCompararTiposCartasMasFrecuente,ReglaAzar";"ReglaCompararTiposCartasMenosFrecuente,ReglaAzar"
"CARTAS JUGADAS";"10796";"11283";"11106";"10993"
"CARTAS ROBADAS";"6620";"7697";"7140";"7067"
"CARTAS +4";"803";"465";"463";"439"
"CARTAS +2";"824";"1101";"800";"892"
"CARTAS CAMBIO DE SENTIDO";"765";"1000";"742";"908"
"CARTAS QUITAR TURNO";"922";"926";"745";"924"
"CARTAS CAMBIA COLOR";"675";"360";"325";"329"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"935";"762";"855";"808"
"VECES QUE HA GANADO";"271";"226";"256";"247"

"GANADOR DE LAS PARTIDAS";"Jugador1"
