"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5"
"REGLAS";"ReglaNoCambiarColorMedio,ReglaContarColoresMasFrecuente";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"9745";"9483";"9497";"9486";"9503"
"CARTAS ROBADAS";"5730";"5926";"5699";"6018";"5825"
"CARTAS +4";"427";"408";"463";"443";"458"
"CARTAS +2";"764";"737";"764";"802";"760"
"CARTAS CAMBIO DE SENTIDO";"744";"686";"702";"757";"712"
"CARTAS QUITAR TURNO";"742";"696";"756";"713";"696"
"CARTAS CAMBIA COLOR";"412";"497";"439";"451";"487"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"778";"595";"675";"643";"689"
"VECES QUE HA GANADO";"268";"169";"200";"166";"197"

"GANADOR DE LAS PARTIDAS";"Jugador1"
