"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"10887";"10754";"10921";"10897"
"CARTAS ROBADAS";"6834";"6945";"6776";"6875"
"CARTAS +4";"502";"462";"535";"480"
"CARTAS +2";"843";"879";"820";"868"
"CARTAS CAMBIO DE SENTIDO";"834";"834";"827";"807"
"CARTAS QUITAR TURNO";"824";"801";"830";"797"
"CARTAS CAMBIA COLOR";"498";"516";"532";"526"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"788";"791";"884";"815"
"VECES QUE HA GANADO";"258";"215";"271";"256"

"GANADOR DE LAS PARTIDAS";"Jugador3"
