"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9";"Jugador10";"Jugador11";"Jugador12";"Jugador13";"Jugador14"
"REGLAS";"ReglaAzar";"ReglaPrimeraCarta";"ReglaPriorizarCartaNumerica";"ReglaPriorizarCartaAccion";"ReglaPriorizarCartasRobar";"ReglaPriorizarComodines";"ReglaNoPriorizarCartasRobar";"ReglaPriorizarCartasAccionNoComodin";"ReglaCambiarColorMedio";"ReglaNoCambiarColorMedio";"ReglaCompararTiposCartasMasFrecuente";"ReglaCompararTiposCartasMenosFrecuente";"ReglaContarColoresMasFrecuente";"ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"63052";"63724";"31788";"66321";"66900";"50540";"41242";"59981";"60397";"33444";"63086";"56582";"42726";"49683"
"CARTAS ROBADAS";"13996";"21127";"42042";"12464";"26635";"33984";"37917";"18282";"22143";"45444";"15202";"25501";"29702";"22787"
"CARTAS +4";"67";"55";"74";"68";"80";"76";"60";"48";"61";"75";"54";"87";"79";"79"
"CARTAS +2";"1008";"1480";"2853";"7624";"827";"307";"917";"501";"397";"2408";"373";"1344";"2663";"2584"
"CARTAS CAMBIO DE SENTIDO";"360";"263";"1821";"4919";"355";"139";"7344";"455";"455";"777";"6790";"1036";"410";"7189"
"CARTAS QUITAR TURNO";"505";"702";"1855";"309";"392";"1544";"2344";"1124";"443";"1838";"252";"1151";"1862";"2962"
"CARTAS CAMBIA COLOR";"58";"57";"67";"67";"62";"63";"50";"49";"49";"70";"55";"73";"66";"83"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"5109";"3644";"17";"7878";"2783";"231";"79";"2648";"1546";"46";"4965";"1426";"121";"513"
"VECES QUE HA GANADO";"1380";"999";"4";"3197";"1154";"46";"21";"608";"221";"9";"2007";"248";"20";"86"

"GANADOR DE LAS PARTIDAS";"Jugador4"
