"JUGADORES";"Jugador1";"Jugador2"
"REGLAS";"ReglaCambiarColorMedio,ReglaAzar";"ReglaNoCambiarColorMedio,ReglaAzar"
"CARTAS JUGADAS";"176225";"178403"
"CARTAS ROBADAS";"130308";"127874"
"CARTAS +4";"7400";"7364"
"CARTAS +2";"13570";"13793"
"CARTAS CAMBIO DE SENTIDO";"13692";"13515"
"CARTAS QUITAR TURNO";"13556";"13887"
"CARTAS CAMBIA COLOR";"7809";"7524"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0"
"VECES QUE CANTA UNO";"14138";"15604"
"VECES QUE HA GANADO";"4528";"5472"

"GANADOR DE LAS PARTIDAS";"Jugador2"
