"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaAzar";"ReglaPrimeraCarta";"ReglaPriorizarCartasRobar";"ReglaNoPriorizarCartasRobar"
"CARTAS JUGADAS";"105758";"105030";"106162";"105174"
"CARTAS ROBADAS";"66162";"64494";"66941";"63797"
"CARTAS +4";"4348";"4255";"4367";"4191"
"CARTAS +2";"7790";"7618";"9834";"8030"
"CARTAS CAMBIO DE SENTIDO";"7366";"7359";"8499";"8612"
"CARTAS QUITAR TURNO";"7382";"7309";"9538";"7535"
"CARTAS CAMBIA COLOR";"4333";"4395";"4443";"4277"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"8187";"8372";"7980";"8460"
"VECES QUE HA GANADO";"2460";"2503";"2330";"2707"

"GANADOR DE LAS PARTIDAS";"Jugador4"
