"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9"
"REGLAS";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"732";"828";"790";"754";"779";"808";"797";"710";"807"
"CARTAS ROBADAS";"221";"160";"200";"229";"216";"184";"166";"221";"175"
"CARTAS +4";"72";"32";"28";"30";"30";"46";"26";"34";"34"
"CARTAS +2";"88";"62";"57";"89";"85";"45";"71";"112";"63"
"CARTAS CAMBIO DE SENTIDO";"78";"56";"38";"70";"76";"50";"45";"82";"59"
"CARTAS QUITAR TURNO";"56";"71";"70";"58";"50";"51";"73";"52";"84"
"VECES QUE CANTA UNO";"41";"24";"33";"58";"42";"38";"25";"46";"35"
"VECES QUE HA GANADO";"14";"7";"7";"12";"11";"15";"12";"13";"7"

"GANADOR DE LAS PARTIDAS";"Jugador6"
