"JUGADORES";"Jugador1";"Jugador2";"Jugador3"
"REGLAS";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"125563";"128541";"126711"
"CARTAS ROBADAS";"79621";"89580";"86003"
"CARTAS +4";"8494";"5073";"4793"
"CARTAS +2";"9557";"11508";"9411"
"CARTAS CAMBIO DE SENTIDO";"9386";"11419";"9037"
"CARTAS QUITAR TURNO";"10439";"10534";"9196"
"CARTAS CAMBIA COLOR";"7155";"3834";"3761"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0"
"VECES QUE CANTA UNO";"11882";"9378";"9807"
"VECES QUE HA GANADO";"3854";"3008";"3138"

"GANADOR DE LAS PARTIDAS";"Jugador1"
