JUGADORES;Jugador1;Jugador2;Jugador3;Jugador4;
REGLAS;ReglaAzarReglaAzarReglaAzar;ReglaAzarReglaAzarReglaAzar;ReglaAzarReglaAzarReglaAzar;ReglaAzarReglaAzarReglaAzar;
Cartas jugadas;1074;1100;1095;1043;
Cartas robadas;358;333;349;364;
Cartas +4 jugadas;53;30;30;28;
Cartas +2 jugadas;116;70;67;85;
Cartas Cambio de Sentido jugadas;99;110;68;85;
Cartas Quitar Turno jugadas;112;101;91;86;
Veces que ha cantado UNO;126;62;85;87;
Veces que ha ganado;37;15;30;18;

Ganador de todas las partidas;Jugador1;
