"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaPriorizarMasCuatro";"ReglaPriorizarMasDos";"ReglaContarColoresMasFrecuente";"ReglaAzar"
"CARTAS JUGADAS";"10882";"11533";"11226";"11073"
"CARTAS ROBADAS";"6481";"8490";"7432";"6945"
"CARTAS +4";"1176";"400";"376";"357"
"CARTAS +2";"820";"1438";"795";"814"
"CARTAS CAMBIO DE SENTIDO";"746";"1271";"783";"721"
"CARTAS QUITAR TURNO";"1023";"1025";"780";"814"
"CARTAS CAMBIA COLOR";"979";"274";"260";"258"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"1034";"588";"768";"867"
"VECES QUE HA GANADO";"298";"193";"238";"271"

"GANADOR DE LAS PARTIDAS";"Jugador1"
