"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"1089";"1174";"1108";"1136"
"CARTAS ROBADAS";"647";"803";"753";"760"
"CARTAS +4";"114";"42";"33";"36"
"CARTAS +2";"76";"133";"88";"83"
"CARTAS CAMBIO DE SENTIDO";"70";"138";"72";"92"
"CARTAS QUITAR TURNO";"90";"120";"73";"88"
"CARTAS CAMBIA COLOR";"98";"34";"27";"27"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"118";"79";"69";"80"
"VECES QUE HA GANADO";"36";"26";"17";"21"

"GANADOR DE LAS PARTIDAS";"Jugador1"
