"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5"
"REGLAS";"ReglaAzar,ReglaPrimeraCarta,ReglaPriorizarCartaNumerica";"ReglaPriorizarCartaAccion,ReglaPriorizarCartasRobar,ReglaPriorizarComodines";"ReglaNoPriorizarCartasRobar,ReglaPriorizarCartasAccionNoComodin,ReglaCambiarColorMedio";"ReglaNoCambiarColorMedio,ReglaCompararTiposCartasMasFrecuente,ReglaContarColoresMasFrecuente";"ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"95699";"96901";"96080";"94660";"95775"
"CARTAS ROBADAS";"55570";"60614";"58520";"55216";"61041"
"CARTAS +4";"3930";"4146";"4014";"3905";"4230"
"CARTAS +2";"6522";"8376";"8679";"7861";"7662"
"CARTAS CAMBIO DE SENTIDO";"5370";"8167";"9066";"7021";"7667"
"CARTAS QUITAR TURNO";"5329";"8159";"10232";"6002";"7874"
"CARTAS CAMBIA COLOR";"3786";"4361";"4364";"3732";"4420"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"7446";"6443";"6550";"7049";"6108"
"VECES QUE HA GANADO";"2292";"1809";"1831";"2405";"1663"

"GANADOR DE LAS PARTIDAS";"Jugador4"
