"JUGADORES";"Jugador1";"Jugador2"
"REGLAS";"ReglaCambiarColorMedio,ReglaAzar";"ReglaNoCambiarColorMedio,ReglaAzar"
"CARTAS JUGADAS";"173919";"175673"
"CARTAS ROBADAS";"128007";"124885"
"CARTAS +4";"7274";"7282"
"CARTAS +2";"13299";"13576"
"CARTAS CAMBIO DE SENTIDO";"13207";"13614"
"CARTAS QUITAR TURNO";"13310";"13546"
"CARTAS CAMBIA COLOR";"7699";"7508"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0"
"VECES QUE CANTA UNO";"14035";"15572"
"VECES QUE HA GANADO";"4533";"5467"

"GANADOR DE LAS PARTIDAS";"Jugador2"
