"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9"
"REGLAS";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"874";"919";"882";"872";"841";"858";"869";"863";"845"
"CARTAS ROBADAS";"481";"738";"561";"524";"514";"588";"594";"559";"632"
"CARTAS +4";"123";"33";"31";"36";"32";"37";"45";"38";"47"
"CARTAS +2";"60";"102";"67";"53";"83";"64";"66";"97";"79"
"CARTAS CAMBIO DE SENTIDO";"56";"87";"44";"52";"90";"59";"45";"63";"89"
"CARTAS QUITAR TURNO";"81";"55";"52";"69";"86";"47";"51";"89";"60"
"CARTAS CAMBIA COLOR";"91";"32";"26";"27";"27";"36";"35";"22";"35"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"66";"36";"52";"52";"49";"31";"51";"38";"29"
"VECES QUE HA GANADO";"13";"5";"17";"17";"12";"7";"12";"6";"11"

"GANADORES DE LAS PARTIDAS";"Jugador3";"Jugador4"
