"JUGADORES";"Jugador1";"Jugador2";"Jugador3"
"REGLAS";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente";"ReglaAzar,ReglaNoPriorizarMasCuatro,ReglaNoPriorizarMasDos,ReglaPrimeraCarta,ReglaPriorizarCartasRobar,ReglaPriorizarComodines,ReglaPriorizarMasCuatro,ReglaPriorizarMasDos,ReglaCompararTiposCartasMasFrecuente,ReglaCompararTiposCartasMenosFrecuente,ReglaContarColoresMasFrecuente,ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"125641";"128854";"127009"
"CARTAS ROBADAS";"79745";"89558";"85883"
"CARTAS +4";"8409";"4980";"5003"
"CARTAS +2";"9783";"11233";"9418"
"CARTAS CAMBIO DE SENTIDO";"9217";"11518";"9075"
"CARTAS QUITAR TURNO";"10472";"10588";"9140"
"CARTAS CAMBIA COLOR";"6975";"3832";"3822"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0"
"VECES QUE CANTA UNO";"11804";"9572";"9995"
"VECES QUE HA GANADO";"3794";"3014";"3192"

"GANADOR DE LAS PARTIDAS";"Jugador1"
