"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4";"Jugador5";"Jugador6";"Jugador7";"Jugador8";"Jugador9";"Jugador10";"Jugador11";"Jugador12";"Jugador13"
"REGLAS";"ReglaAzar";"ReglaPrimeraCarta";"ReglaPriorizarCartaNumerica";"ReglaPriorizarCartaAccion";"ReglaPriorizarCartasRobar";"ReglaPriorizarComodines";"ReglaNoPriorizarCartasRobar";"ReglaPriorizarCartasAccionNoComodin";"ReglaCambiarColorMedio";"ReglaCompararTiposCartasMasFrecuente";"ReglaCompararTiposCartasMenosFrecuente";"ReglaContarColoresMasFrecuente";"ReglaContarColoresMenosFrecuente"
"CARTAS JUGADAS";"3289";"3393";"3357";"3337";"3258";"3319";"3336";"3290";"3259";"3269";"3320";"3220";"3225"
"CARTAS ROBADAS";"2110";"2721";"2521";"2401";"2311";"2480";"2324";"2380";"2541";"2348";"2578";"2275";"2644"
"CARTAS +4";"436";"326";"276";"260";"244";"296";"275";"286";"298";"291";"301";"272";"278"
"CARTAS +2";"284";"285";"218";"286";"430";"231";"230";"313";"247";"228";"306";"324";"262"
"CARTAS CAMBIO DE SENTIDO";"211";"295";"150";"291";"246";"240";"202";"317";"259";"164";"295";"296";"204"
"CARTAS QUITAR TURNO";"222";"276";"145";"282";"268";"217";"228";"337";"302";"177";"291";"284";"207"
"CARTAS CAMBIA COLOR";"482";"234";"193";"321";"206";"318";"211";"215";"250";"192";"232";"178";"259"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"175";"119";"140";"122";"119";"94";"143";"128";"95";"120";"116";"121";"94"
"VECES QUE HA GANADO";"44";"33";"36";"31";"28";"23";"42";"37";"26";"28";"26";"32";"24"

"GANADOR DE LAS PARTIDAS";"Jugador1"
