"JUGADORES";"Jugador1";"Jugador2";"Jugador3";"Jugador4"
"REGLAS";"ReglaAzar,ReglaAzar,ReglaAzar";"ReglaAzar,ReglaAzar,ReglaAzar";"ReglaAzar,ReglaAzar,ReglaAzar";"ReglaAzar,ReglaAzar,ReglaAzar"
"CARTAS JUGADAS";"1075";"1105";"1081";"1103"
"CARTAS ROBADAS";"593";"797";"726";"752"
"CARTAS +4";"119";"41";"36";"34"
"CARTAS +2";"86";"120";"80";"85"
"CARTAS CAMBIO DE SENTIDO";"79";"118";"70";"81"
"CARTAS QUITAR TURNO";"98";"113";"67";"72"
"CARTAS CAMBIA COLOR";"101";"27";"20";"34"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0";"0";"0"
"VECES QUE CANTA UNO";"105";"53";"77";"70"
"VECES QUE HA GANADO";"40";"18";"22";"20"

"GANADOR DE LAS PARTIDAS";"Jugador1"
